"","Country","week 1 1 2020","week 2 1 2020","week 3 1 2020","week 4 1 2020","week 5 1 2020","week 1 2 2020","week 2 2 2020","week 3 2 2020","week 4 2 2020","week 1 3 2020","week 2 3 2020","week 3 3 2020","week 4 3 2020","week 1 4 2020","week 2 4 2020","week 4 4 2020","week 5 4 2020","week 1 5 2020","week 2 5 2020","week 3 5 2020","week 4 5 2020","week 5 5 2020","week 1 6 2020","week 2 6 2020","week 3 6 2020","week 4 6 2020","week 5 6 2020","week 1 7 2020","week 2 7 2020","week 3 7 2020","week 4 7 2020","week 5 7 2020","week 1 8 2020","week 2 8 2020","week 3 8 2020","week 4 8 2020","week 5 8 2020","week 1 9 2020","week 2 9 2020","week 3 9 2020","week 4 9 2020","week 5 9 2020","week 1 10 2020","week 2 10 2020","week 3 10 2020","week 4 10 2020","week 5 10 2020","week 1 11 2020","week 2 11 2020","week 3 11 2020","week 4 11 2020","week 1 12 2020","week 2 12 2020","week 3 12 2020","week 4 12 2020","week 5 12 2020","week 1 1 2021","week 2 1 2021","week 3 1 2021","week 4 1 2021","week 1 2 2021","week 2 2 2021","week 3 2 2021","week 4 2 2021","week 1 3 2021","week 2 3 2021","week 3 3 2021","week 4 3 2021","week 5 3 2021","week 1 4 2021","week 2 4 2021","week 3 4 2021","week 4 4 2021","week 5 4 2021","week 1 5 2021","week 2 5 2021","week 3 5 2021","week 4 5 2021","week 5 5 2021","week 1 6 2021","week 2 6 2021","week 3 6 2021","week 4 6 2021","week 5 6 2021","week 1 7 2021","week 2 7 2021","week 3 7 2021"
"1","AUSTRIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850,850
"2","BELGIUM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,50000,50000,1e+05,1e+05,1e+05,101000,101000,106000,117000,117000,117000,117000,722000,722000,725000,725000,725000,725000,725000,725000,725000,725000,725000,725000,725000,725000,725000,725000,725000,725000,725000,725000,726500,726500,728000,728000,728000,728000,793000,793000,793000,803000,803000,878000,878000,878000,878000,878000,878000,878000,879000,879000,879000,879000,879000,879000,979000,979000,979000,979000,979000,979000,979000,979000,979000,979000,979000,979000,979000,979000,979000
"3","BULGARIA",5110,5110,5110,5110,5110,5110,5110,10230,10230,10230,10230,10230,10230,10230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230,12230
"4","CYPRUS",0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,26000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000
"5","CZECH REPUBLIC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118500,118500,118500,118500,118500,118500,118500,118500,118500,118500,118500,118500,118500,118500,118500,118500,118500,118500,118500,118500,118500,118500,118500,118500,118500,118500,118500,118500,118500,118500,118500
"6","DENMARK",0,0,0,0,0,0,0,0,0,0,21000,21000,21000,21000,21000,21000,21000,21000,21000,27700,27700,27700,27700,27700,27700,27700,34400,34400,34400,34400,182200,182200,202300,202300,202300,202300,202300,202300,202300,202300,202300,202300,202300,202300,202300,202300,202300,202300,202300,202300,202300,202300,202300,202300,202300,202300,202300,202300,202300,202300,202300,215750,215750,215750,215750,215750,215750,215750,215750,215750,215750,215750,215750,215750,215750,215750,215750,215750,215750,215750,215750,242750,242750,242750,296550,377250,445150
"7","ESTONIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,300548,300548,300548,300548,300548,300548,300548,300548,300548,300548,300548,300548,300548,300548,300548,300548,300548,300548,300548,300548,300548,300548,300548,300548,300548,300548,300548,300548,300548,300548,300548,300548,300548,300548,300548,300548
"8","FINLAND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128500,200500,200500,200500,200500,200500,200500,200500,200500,200500,200500,200500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,207500,282500,282500,282500,282500,282500,282500,282500,282500,282500,282500,282500,291000,291000,291000,291000,291000
"9","FRANCE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,3300000,3300000,3307300,3307300,3316300,3316300,3316300,3336300,3336300,3336300,3561300,3561300,3561300,3561300,3561300,3561300,3561300,3561300,3561300,3561300,3561300,3561300,3561300,3561300,3561300,3561300,3561300,3561300,3561300,3561300,3561300,4061300,4061300,4061300,4061300,4061300,4061300,5811300
"10","GERMANY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1240000,1240000,1240000,1240000,1240000,1240000,1240000,1240000,1240000,1240000,1240000,1240000,1240000,1240000,1240000,1240000,36498708,36498708,36498708,36498708,36498708,36498708,37398708,37398708,37398708,37398708,37398708,37398708,37398708,37398708,37398708,47798708,47798708,47798708,47798708,47798708,47798708,47798708,47798908,48098908,48098908,48098908,48098908,48098908,48098908,48098908,48098908,48098908,48098908,48098908,48098908,48098908,48098908,48098908,48098908,48098908,48098908,48098908,48098908,48098908,48098908
